Q2	Q26a
Bachelors	$0 - $1000
Bachelors	"$3,001 - $4,000"
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$4,001 - $5,000"
Bachelors	$0 - $1000
Bachelors	"$2,001 - $3,000"
Bachelors	$0 - $1000
Bachelors	"$4,001 - $5,000"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$3,001 - $4,000"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	"$4,001 - $5,000"
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$4,001 - $5,000"
Bachelors	"$4,001 - $5,000"
Bachelors	"$3,001 - $4,000"
Bachelors	$0 - $1000
Bachelors	"$1,001 - $2,000"
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$5,000 +"
Bachelors	"$4,001 - $5,000"
Bachelors	"$3,001 - $4,000"
Bachelors	$0 - $1000
Bachelors	"$3,001 - $4,000"
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$3,001 - $4,000"
Bachelors	"$1,001 - $2,000"
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$4,001 - $5,000"
Bachelors	$0 - $1000
Bachelors	"$2,001 - $3,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$4,001 - $5,000"
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$3,001 - $4,000"
Bachelors	"$2,001 - $3,000"
Bachelors	"$4,001 - $5,000"
Bachelors	"$3,001 - $4,000"
Bachelors	"$1,001 - $2,000"
Bachelors	"$5,000 +"
Bachelors	"$2,001 - $3,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$2,001 - $3,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$5,000 +"
Bachelors	"$5,000 +"
Bachelors	"$5,000 +"
Bachelors	"$1,001 - $2,000"
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	"$3,001 - $4,000"
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$3,001 - $4,000"
Bachelors	"$4,001 - $5,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$2,001 - $3,000"
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$4,001 - $5,000"
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$2,001 - $3,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	"$3,001 - $4,000"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$1,001 - $2,000"
Bachelors	"$4,001 - $5,000"
Bachelors	$0 - $1000
Bachelors	"$1,001 - $2,000"
Bachelors	"$4,001 - $5,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$2,001 - $3,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$2,001 - $3,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$1,001 - $2,000"
Bachelors	$0 - $1000
Bachelors	"$1,001 - $2,000"
Bachelors	"$1,001 - $2,000"
Bachelors	"$1,001 - $2,000"
Bachelors	"$4,001 - $5,000"
Bachelors	"$4,001 - $5,000"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	"$5,000 +"
Bachelors	$0 - $1000
Bachelors	$0 - $1000
Graduate School	$0 - $1000
Graduate School	"$2,001 - $3,000"
Graduate School	"$1,001 - $2,000"
Graduate School	$0 - $1000
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	"$4,001 - $5,000"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$3,001 - $4,000"
Graduate School	"$5,000 +"
Graduate School	"$3,001 - $4,000"
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	"$4,001 - $5,000"
Graduate School	"$5,000 +"
Graduate School	"$4,001 - $5,000"
Graduate School	$0 - $1000
Graduate School	"$2,001 - $3,000"
Graduate School	"$4,001 - $5,000"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	"$4,001 - $5,000"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	"$2,001 - $3,000"
Graduate School	$0 - $1000
Graduate School	$0 - $1000
Graduate School	"$3,001 - $4,000"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	$0 - $1000
Graduate School	$0 - $1000
Graduate School	"$3,001 - $4,000"
Graduate School	"$1,001 - $2,000"
Graduate School	"$3,001 - $4,000"
Graduate School	"$4,001 - $5,000"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	"$2,001 - $3,000"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$4,001 - $5,000"
Graduate School	"$4,001 - $5,000"
Graduate School	$0 - $1000
Graduate School	"$1,001 - $2,000"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$4,001 - $5,000"
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	$0 - $1000
Graduate School	"$2,001 - $3,000"
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	$0 - $1000
Graduate School	"$3,001 - $4,000"
Graduate School	"$5,000 +"
Graduate School	"$3,001 - $4,000"
Graduate School	"$3,001 - $4,000"
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	"$1,001 - $2,000"
Graduate School	$0 - $1000
Graduate School	"$2,001 - $3,000"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$1,001 - $2,000"
Graduate School	"$3,001 - $4,000"
Graduate School	"$5,000 +"
Graduate School	"$1,001 - $2,000"
Graduate School	"$4,001 - $5,000"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	$0 - $1000
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$2,001 - $3,000"
Graduate School	$0 - $1000
Graduate School	"$2,001 - $3,000"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Graduate School	"$5,000 +"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$5,000 +"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$2,001 - $3,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$1,001 - $2,000"
Some College	$0 - $1000
Some College	"$1,001 - $2,000"
Some College	"$4,001 - $5,000"
Some College	$0 - $1000
Some College	"$3,001 - $4,000"
Some College	"$1,001 - $2,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$4,001 - $5,000"
Some College	"$1,001 - $2,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$4,001 - $5,000"
Some College	"$4,001 - $5,000"
Some College	$0 - $1000
Some College	"$3,001 - $4,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$2,001 - $3,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$2,001 - $3,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$1,001 - $2,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$2,001 - $3,000"
Some College	"$5,000 +"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$2,001 - $3,000"
Some College	"$2,001 - $3,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$4,001 - $5,000"
Some College	"$5,000 +"
Some College	"$5,000 +"
Some College	"$1,001 - $2,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$3,001 - $4,000"
Some College	"$4,001 - $5,000"
Some College	$0 - $1000
Some College	"$2,001 - $3,000"
Some College	$0 - $1000
Some College	"$3,001 - $4,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$4,001 - $5,000"
Some College	"$2,001 - $3,000"
Some College	"$1,001 - $2,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$2,001 - $3,000"
Some College	"$1,001 - $2,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$5,000 +"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$2,001 - $3,000"
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	$0 - $1000
Some College	"$1,001 - $2,000"
Some College	$0 - $1000
Some Graduate School	"$2,001 - $3,000"
Some Graduate School	$0 - $1000
Some Graduate School	"$4,001 - $5,000"
Some Graduate School	"$3,001 - $4,000"
Some Graduate School	$0 - $1000
Some Graduate School	$0 - $1000
Some Graduate School	$0 - $1000
Some Graduate School	$0 - $1000
Some Graduate School	$0 - $1000
Some Graduate School	$0 - $1000
Some Graduate School	"$3,001 - $4,000"
Some Graduate School	"$4,001 - $5,000"
Some Graduate School	"$1,001 - $2,000"
Some Graduate School	"$5,000 +"
Some Graduate School	"$4,001 - $5,000"
Some Graduate School	"$2,001 - $3,000"
Some Graduate School	"$5,000 +"
Some Graduate School	"$1,001 - $2,000"
Some Graduate School	$0 - $1000
Some Graduate School	"$5,000 +"
Some Graduate School	"$1,001 - $2,000"
Some Graduate School	"$5,000 +"
Some Graduate School	"$1,001 - $2,000"
Some Graduate School	$0 - $1000
Some Graduate School	$0 - $1000
Some Graduate School	"$4,001 - $5,000"
Some Graduate School	"$2,001 - $3,000"
Some Graduate School	"$5,000 +"
Some Graduate School	"$4,001 - $5,000"
Some Graduate School	"$5,000 +"
Some Graduate School	"$3,001 - $4,000"
Some Graduate School	"$3,001 - $4,000"
Some Graduate School	"$5,000 +"
Some Graduate School	$0 - $1000
Some Graduate School	"$3,001 - $4,000"
Some Graduate School	"$5,000 +"
Some Graduate School	"$5,000 +"
Some Graduate School	"$5,000 +"
Some Graduate School	"$5,000 +"
Some Graduate School	"$5,000 +"
Some Graduate School	$0 - $1000
Some Graduate School	"$5,000 +"
Some Graduate School	$0 - $1000
Some Graduate School	"$5,000 +"
Some Graduate School	$0 - $1000
Some Graduate School	$0 - $1000
Some Graduate School	"$3,001 - $4,000"
Some Graduate School	"$4,001 - $5,000"
Some Graduate School	"$1,001 - $2,000"
Some Graduate School	$0 - $1000
Some Graduate School	"$2,001 - $3,000"
Some Graduate School	"$1,001 - $2,000"
Some Graduate School	$0 - $1000
Some Graduate School	"$5,000 +"
